m,l0,phi,eps,is_sat
0.0,0.02,0.0040007452,5.3326075e-06,False
0.0025125628,0.02,0.19672115,9.2218386e-07,False
0.0050251256,0.02,0.27316636,9.265463e-07,False
0.007537688,0.02,0.32887718,9.3027086e-07,False
0.010050251,0.02,0.37366417,9.377995e-07,False
0.012562814,0.02,0.41141778,9.4702875e-07,False
0.015075376,0.02,0.4441675,9.585929e-07,False
0.01758794,0.02,0.473131,9.732049e-07,False
0.020100502,0.02,0.4991201,9.544656e-06,False
0.022613065,0.02,0.5223353,0.0009672493,False
0.025125628,0.02,0.54352176,0.0019645097,False
0.027638191,0.02,0.5630088,0.0029711127,False
0.030150753,0.02,0.5810392,0.0039915848,False
0.032663316,0.02,0.59780616,0.0050333664,False
0.03517588,0.02,0.6134654,0.0060883397,False
0.03768844,0.02,0.62814707,0.0071681514,False
0.040201005,0.02,0.641958,0.0082696825,False
0.042713568,0.02,0.65498924,0.009393156,False
0.04522613,0.02,0.6673176,0.010538489,False
0.047738694,0.02,0.67900956,0.011705469,False
0.050251257,0.02,0.69012237,0.012893365,False
0.05276382,0.02,0.7007059,0.014101552,False
0.055276383,0.02,0.71080434,0.015329964,False
0.057788946,0.02,0.72045594,0.01657655,False
0.060301505,0.02,0.72969526,0.017842704,False
0.06281407,0.02,0.73855275,0.019126806,False
0.06532663,0.02,0.7470556,0.020428482,False
0.0678392,0.02,0.7552284,0.021746978,False
0.07035176,0.02,0.7630932,0.023081964,False
0.072864324,0.02,0.7706701,0.024432808,False
0.07537688,0.02,0.7779771,0.025798952,False
0.07788945,0.02,0.78503096,0.02717997,False
0.08040201,0.02,0.7918464,0.028575487,False
0.08291457,0.02,0.7984375,0.029984748,False
0.085427135,0.02,0.8048167,0.03140778,False
0.087939695,0.02,0.81099594,0.03284375,False
0.09045226,0.02,0.81698567,0.034292515,False
0.09296482,0.02,0.8227965,0.035760053,False
0.09547739,0.02,0.8284357,0.03722674,False
0.09798995,0.02,0.8339138,0.038711607,False
0.10050251,0.02,0.8392379,0.04020806,False
0.10301507,0.02,0.8444155,0.041714776,False
0.10552764,0.02,0.84945333,0.04323278,False
0.1080402,0.02,0.8543579,0.044760894,False
0.110552765,0.02,0.8591349,0.046299648,False
0.113065325,0.02,0.8637903,0.047848042,False
0.11557789,0.02,0.8683291,0.04940601,False
0.11809045,0.02,0.8727562,0.050973505,False
0.12060301,0.02,0.87707645,0.05255023,False
0.12311558,0.02,0.8812941,0.054135896,False
0.12562814,0.02,0.8854132,0.055730343,False
